Sintomas,Possíveis Doenças,Principais Remédios
Febre alta; calafrios; dor de cabeça; fadiga; dores musculares,"1. Gripe (Influenza); 2. COVID-19; 3. Dengue; 4. Malária; 5. Febre Tifoide; 6. Leptospirose; 7. Mononucleose; 8. Sepse; 9. Chikungunya; 10. Zika","1. Paracetamol; 2. Ibuprofeno; 3. Dipirona; 4. Oseltamivir (Tamiflu); 5. Azitromicina; 6. Amoxicilina; 7. Doxiciclina; 8. Cloroquina; 9. Antitérmicos; 10. Soro de reidratação oral"
Tosse persistente; falta de ar; chiado no peito; muco,"1. Asma; 2. Bronquite; 3. Pneumonia; 4. DPOC; 5. Tuberculose; 6. COVID-19; 7. Sinusite; 8. Rinite alérgica; 9. Refluxo gastroesofágico; 10. Insuficiência cardíaca","1. Salbutamol (Ventolin); 2. Budesonida; 3. Amoxicilina; 4. Azitromicina; 5. Prednisona; 6. Formoterol; 7. Brometo de ipratrópio; 8. Montelucaste; 9. Cetirizina; 10. Dexametasona"
Dor no peito; palpitações; falta de ar; tontura,"1. Infarto do miocárdio; 2. Angina; 3. Arritmia cardíaca; 4. Insuficiência cardíaca; 5. Pericardite; 6. Embolia pulmonar; 7. Hipertensão arterial; 8. Miocardite; 9. Prolapso da válvula mitral; 10. Ansiedade","1. AAS (Aspirina); 2. Atenolol; 3. Losartana; 4. Enalapril; 5. Nitroglicerina; 6. Amiodarona; 7. Metoprolol; 8. Furosemida; 9. Varfarina; 10. Sinvastatina"
Dor de cabeça intensa; náusea; vômito; sensibilidade à luz,"1. Enxaqueca; 2. Meningite; 3. Hipertensão arterial; 4. Sinusite; 5. Tensão cervical; 6. Tumor cerebral; 7. AVC; 8. Neuralgia; 9. Dengue; 10. Glaucoma","1. Paracetamol; 2. Ibuprofeno; 3. Sumatriptano; 4. Dipirona; 5. Ergotamina; 6. Topiramato; 7. Propranolol; 8. Amitriptilina; 9. Metoclopramida; 10. Naproxeno"
Dor abdominal; náusea; vômito; diarreia; perda de apetite,"1. Gastroenterite; 2. Gastrite; 3. Úlcera péptica; 4. Síndrome do intestino irritável; 5. Apendicite; 6. Pancreatite; 7. Doença de Crohn; 8. Colite ulcerativa; 9. Cálculo biliar; 10. Intolerância à lactose","1. Omeprazol; 2. Ranitidina; 3. Domperidona; 4. Metoclopramida; 5. Ondansetrona; 6. Buscopan; 7. Amoxicilina + Claritromicina; 8. Loperamida; 9. Soro de reidratação oral; 10. Mesalazina"
Dor articular; inchaço; rigidez; vermelhidão nas articulações,"1. Artrite reumatoide; 2. Osteoartrite; 3. Gota; 4. Lúpus eritematoso; 5. Artrite psoriásica; 6. Artrite séptica; 7. Espondilite anquilosante; 8. Fibromialgia; 9. Bursite; 10. Tendinite","1. Ibuprofeno; 2. Naproxeno; 3. Celecoxibe; 4. Metotrexato; 5. Prednisona; 6. Alopurinol; 7. Colchicina; 8. Sulfassalazina; 9. Hidroxicloroquina; 10. Diclofenaco"
Cansaço extremo; pele pálida; falta de ar; tontura,"1. Anemia ferropriva; 2. Anemia falciforme; 3. Leucemia; 4. Hipotireoidismo; 5. Insuficiência renal; 6. Depressão; 7. Diabetes; 8. Insuficiência cardíaca; 9. Deficiência de vitamina B12; 10. Mieloma múltiplo","1. Sulfato ferroso; 2. Vitamina B12; 3. Ácido fólico; 4. Eritropoetina; 5. Levotiroxina; 6. Transfusão de hemácias; 7. Hidroxiureia; 8. Multivitamínicos; 9. Vitamina C; 10. Ferriprox"
Aumento da sede; urina frequente; visão turva; cicatrização lenta,"1. Diabetes tipo 1; 2. Diabetes tipo 2; 3. Diabetes insípido; 4. Síndrome de Cushing; 5. Hiperglicemia; 6. Pancreatite crônica; 7. Hipotireoidismo; 8. Insuficiência renal crônica; 9. Obesidade mórbida; 10. Síndrome metabólica","1. Metformina; 2. Insulina NPH; 3. Insulina Regular; 4. Glibenclamida; 5. Empagliflozina; 6. Sitagliptina; 7. Liraglutida; 8. Pioglitazona; 9. Dapagliflozina; 10. Acarbose"
Tristeza profunda; perda de interesse; insônia; pensamentos negativos,"1. Depressão maior; 2. Transtorno bipolar; 3. Ansiedade generalizada; 4. Síndrome de burnout; 5. Transtorno de estresse pós-traumático; 6. Esquizofrenia; 7. Transtorno obsessivo-compulsivo; 8. Hipotireoidismo; 9. Fibromialgia; 10. Abuso de substâncias","1. Sertralina; 2. Fluoxetina; 3. Escitalopram; 4. Venlafaxina; 5. Amitriptilina; 6. Bupropiona; 7. Clonazepam; 8. Quetiapina; 9. Lítio; 10. Mirtazapina"
Dor ao urinar; urina turva; febre; dor lombar,"1. Infecção urinária (ITU); 2. Pielonefrite; 3. Cistite; 4. Cálculo renal; 5. Uretrite; 6. Prostatite; 7. Glomerulonefrite; 8. Insuficiência renal; 9. Doença sexualmente transmissível; 10. Bexiga hiperativa","1. Ciprofloxacino; 2. Nitrofurantoína; 3. Norfloxacino; 4. Amoxicilina + Clavulanato; 5. Sulfametoxazol + Trimetoprima; 6. Fosfomicina; 7. Tamsulosina; 8. Finasterida; 9. Doxiciclina; 10. Ibuprofeno"
Manchas na pele; coceira; descamação; vermelhidão,"1. Dermatite atópica; 2. Psoríase; 3. Urticária; 4. Acne; 5. Eczema; 6. Micose; 7. Impetigo; 8. Herpes zoster; 9. Escabiose (sarna); 10. Celulite","1. Hidrocortisona; 2. Betametasona; 3. Cetirizina; 4. Loratadina; 5. Clotrimazol; 6. Fluconazol; 7. Permetrina; 8. Aciclovir; 9. Amoxicilina; 10. Tretinoína"
